,mean,sd
Customer_Age,46.32596030413745,8.01641820891176
Dependent_count,2.3462032191172115,1.2988442163662193
Months_on_book,35.928409203120374,7.986022008096456
Total_Relationship_Count,3.8125802310654686,1.5543311177215595
Months_Inactive_12_mon,2.3411671768539546,1.0105725007637258
Contacts_Count_12_mon,2.4553174681544387,1.1061705236740995
Credit_Limit,8631.953698034955,9088.327899308213
Total_Revolving_Bal,1162.8140614199665,814.9470959025144
Avg_Open_To_Buy,7469.139636614989,9090.23647852497
Total_Amt_Chng_Q4_Q1,0.759940653698035,0.21919594607572387
Total_Trans_Amt,4404.086303939963,3396.9615230781264
Total_Trans_Ct,64.85869457884863,23.471411510261287
Total_Ct_Chng_Q4_Q1,0.7122223758269972,0.23807433602687184
Avg_Utilization_Ratio,0.2748935518909845,0.27567785721153454
